Game Date,Away Team,Home Team,Predicted_NRFI_Probability,Away_NRFI_Batting_Rate,Home_NRFI_Pitching_Rate,NRFI_Hit
2025-04-17,Washington Nationals,Pittsburgh Pirates,59.46,68.97,86.21,0
2025-04-17,New York Yankees,Tampa Bay Rays,39.78,58.62,67.86,0
2025-04-17,Los Angeles Angels,Texas Rangers,55.29,70.37,78.57,0
2025-04-18,Minnesota Twins,Atlanta Braves,45.92,71.43,64.29,1
2025-04-18,Cincinnati Reds,Baltimore Orioles,44.34,71.43,62.07,1
2025-04-18,Chicago White Sox,Boston Red Sox,40.18,64.29,62.5,0
2025-04-18,Arizona Diamondbacks,Chicago Cubs,50.0,64.29,77.78,1
2025-04-18,Washington Nationals,Colorado Rockies,45.19,68.97,65.52,1
2025-04-18,Kansas City Royals,Detroit Tigers,55.52,70.0,79.31,0
2025-04-18,San Diego Padres,Houston Astros,47.62,64.29,74.07,1
2025-04-18,San Francisco Giants,Los Angeles Angels,44.95,75.86,59.26,1
2025-04-18,Athletics,Milwaukee Brewers,54.31,75.0,72.41,1
2025-04-18,St. Louis Cardinals,New York Mets,73.9,82.76,89.29,1
2025-04-18,Miami Marlins,Philadelphia Phillies,58.93,75.0,78.57,0
2025-04-18,Cleveland Guardians,Pittsburgh Pirates,61.58,71.43,86.21,0
2025-04-18,New York Yankees,Tampa Bay Rays,39.78,58.62,67.86,1
2025-04-18,Los Angeles Dodgers,Texas Rangers,54.39,69.23,78.57,0
2025-04-18,Seattle Mariners,Toronto Blue Jays,42.86,64.29,66.67,0
2025-04-19,Minnesota Twins,Atlanta Braves,45.92,71.43,64.29,0
2025-04-19,Cincinnati Reds,Baltimore Orioles,44.34,71.43,62.07,0
2025-04-19,Chicago White Sox,Boston Red Sox,40.18,64.29,62.5,1
2025-04-19,Arizona Diamondbacks,Chicago Cubs,50.0,64.29,77.78,0
2025-04-19,Washington Nationals,Colorado Rockies,45.19,68.97,65.52,1
2025-04-19,Kansas City Royals,Detroit Tigers,55.52,70.0,79.31,1
2025-04-19,San Diego Padres,Houston Astros,47.62,64.29,74.07,1
2025-04-19,San Francisco Giants,Los Angeles Angels,44.95,75.86,59.26,0
2025-04-19,Athletics,Milwaukee Brewers,54.31,75.0,72.41,1
