,"Sat 4/26","Sun 4/27","Mon 4/28","Tue 4/29","Wed 4/30","Thu 5/1","Fri 5/2"
oppPitch,"A. Senzatela R","R. Feltner R","A. Pallante R","M. Mikolas R","S. Matz L","M. Liberatore L","M. Soroka R"

CLE,"B. Lively (R)","L. Allen (L)","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)","B. Lively (R)","L. Allen (L)"
game,"Sat 1:10pm vs BOS","Sun 1:40pm vs BOS","Mon 6:10pm vs MIN","Tue 6:10pm vs MIN","Wed 6:10pm vs MIN","Thu 1:10pm vs MIN","Fri 7:07pm @ TOR"
stats,"1-2 3.86 ERA","1-1 2.11 ERA","2-1 4.15 ERA","2-2 5.19 ERA","2-3 5.96 ERA","1-2 3.86 ERA","1-1 2.11 ERA"
oppBat,".244 1.0 HR 9.5 K",".244 1.0 HR 9.5 K",".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",".242 0.5 HR 7.0 K"
oppPitch,"T. Houck R","B. Bello R","B. Ober R","C. Paddack R","P. Lopez R","S. Woods Richardson R","K. Gausman R"
CLE,"D. Nikhazy (L)",---,---,---,---,---,---
game,"Sat 6:10pm vs BOS",,,,,,
stats,"0-0 0.00 ERA",,,,,,
oppBat,".244 1.0 HR 9.5 K",,,,,,
oppPitch,"W. Buehler R",,,,,,

COL,"A. Senzatela (R)","R. Feltner (R)","T. Gordon (R)","G. Marquez (R)","C. Dollander (R)","K. Freeland (L)","A. Senzatela (R)"
game,"Sat 3:10pm vs CIN","Sun 3:10pm vs CIN","Mon 8:40pm vs ATL","Tue 8:40pm vs ATL","Wed 3:10pm vs ATL","Thu 9:45pm @ SF","Fri 10:15pm @ SF"
stats,"1-3 4.81 ERA","0-1 3.86 ERA","0-0 0.00 ERA","0-4 9.30 ERA","1-3 7.91 ERA","0-4 5.93 ERA","1-3 4.81 ERA"
oppBat,".245 1.1 HR 8.8 K",".245 1.1 HR 8.8 K",".238 1.3 HR 9.0 K",".238 1.3 HR 9.0 K",".238 1.3 HR 9.0 K",".227 1.0 HR 8.9 K",".227 1.0 HR 8.9 K"
oppPitch,"H. Greene R","N. Lodolo L","A. Smith-Shawver R","B. Elder R","C. Sale L","J. Verlander R","R. Ray L"

CWS,"J. Cannon (R)","D. Martin (R)","OFF DAY","B. Wilson (R)","S. Smith (R)","S. Burke (R)","J. Cannon (R)"
game,"Sat 4:05pm @ ATH","Sun 4:05pm @ ATH",,"Tue 7:40pm vs MIL","Wed 7:40pm vs MIL","Thu 2:10pm vs MIL","Fri 7:40pm vs HOU"
stats,"0-3 4.81 ERA","1-3 3.95 ERA",,"0-0 4.30 ERA","1-1 2.30 ERA","1-4 6.00 ERA","0-3 4.81 ERA"
oppBat,".256 1.4 HR 7.3 K",".256 1.4 HR 7.3 K",,".246 0.9 HR 7.9 K",".246 0.9 HR 7.9 K",".246 0.9 HR 7.9 K",".232 0.8 HR 8.2 K"
oppPitch,"J. Springs L","O. Bido R",,"F. Peralta R","T. Myers R","C. Patrick R","F. Valdez L"

DET,"C. Mize (R)","T. Skubal (L)","J. Flaherty (R)","R. Olson (R)","J. Jobe (R)","C. Mize (R)","T. Skubal (L)"
game,"Sat 1:10pm vs BAL","Sun 1:40pm vs BAL","Mon 8:10pm @ HOU","Tue 8:10pm @ HOU","Wed 2:10pm @ HOU","Thu 9:38pm @ LAA","Fri 9:38pm @ LAA"
stats,"3-1 2.22 ERA","2-2 2.83 ERA","1-2 2.63 ERA","3-1 3.29 ERA","2-0 2.70 ERA","3-1 2.22 ERA","2-2 2.83 ERA"
oppBat,".223 1.3 HR 8.5 K",".223 1.3 HR 8.5 K",".232 0.8 HR 8.2 K",".232 0.8 HR 8.2 K",".232 0.8 HR 8.2 K",".217 1.5 HR 9.5 K",".217 1.5 HR 9.5 K"
oppPitch,"B. Young R","D. Kremer R","R. Blanco R","R. Gusto R","H. Wesneski R","K. Hendricks R","Y. Kikuchi L"
DET,"K. Montero (R)",---,---,---,---,---,---
game,"Sat 6:10pm vs BAL",,,,,,
stats,"0-1 7.71 ERA",,,,,,
oppBat,".223 1.3 HR 8.5 K",,,,,,
oppPitch,"C. Morton R",,,,,,

HOU,"F. Valdez (L)","H. Brown (R)","R. Blanco (R)","R. Gusto (R)","H. Wesneski (R)","OFF DAY","F. Valdez (L)"
game,"Sat 7:10pm @ KC","Sun 2:10pm @ KC","Mon 8:10pm vs DET","Tue 8:10pm vs DET","Wed 2:10pm vs DET",,"Fri 7:40pm @ CWS"
stats,"1-2 4.50 ERA","3-1 1.16 ERA","2-2 5.01 ERA","3-1 2.78 ERA","1-2 3.86 ERA",,"1-2 4.50 ERA"
oppBat,".224 0.4 HR 7.4 K",".224 0.4 HR 7.4 K",".246 1.0 HR 9.1 K",".246 1.0 HR 9.1 K",".246 1.0 HR 9.1 K",,".205 0.8 HR 8.7 K"
oppPitch,"M. Wacha R","K. Bubic L","J. Flaherty R","R. Olson R","J. Jobe R",,"J. Cannon R"

KC,"M. Wacha (R)","K. Bubic (L)","OFF DAY","C. Ragans (L)","M. Lorenzen (R)","S. Lugo (R)","M. Wacha (R)"
game,"Sat 7:10pm vs HOU","Sun 2:10pm vs HOU",,"Tue 7:05pm @ TB","Wed 7:05pm @ TB","Thu 1:10pm @ TB","Fri 7:05pm @ BAL"
stats,"0-3 4.15 ERA","2-1 1.45 ERA",,"1-1 4.40 ERA","2-3 3.90 ERA","2-3 3.08 ERA","0-3 4.15 ERA"
oppBat,".232 0.8 HR 8.2 K",".232 0.8 HR 8.2 K",,".252 0.9 HR 8.6 K",".252 0.9 HR 8.6 K",".252 0.9 HR 8.6 K",".223 1.3 HR 8.5 K"
oppPitch,"F. Valdez L","H. Brown R",,"T. Bradley R","D. Rasmussen R","S. Baz R","C. Morton R"

LAA,"Y. Kikuchi (L)","J. Soriano (R)","OFF DAY","J. Kochanowicz (R)","T. Anderson (L)","K. Hendricks (R)","Y. Kikuchi (L)"
game,"Sat 2:10pm @ MIN","Sun 1:40pm @ MIN",,"Tue 9:40pm @ SEA","Wed 4:10pm @ SEA","Thu 9:38pm vs DET","Fri 9:38pm vs DET"
stats,"0-3 3.38 ERA","2-3 4.34 ERA",,"1-3 5.47 ERA","2-0 2.60 ERA","0-3 6.65 ERA","0-3 3.38 ERA"
oppBat,".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",,".228 1.4 HR 9.2 K",".228 1.4 HR 9.2 K",".246 1.0 HR 9.1 K",".246 1.0 HR 9.1 K"
oppPitch,"S. Woods Richardson R","J. Ryan R",,"E. Hancock R","B. Woo R","C. Mize R","T. Skubal L"

LAD,"R. Sasaki (R)","T. Glasnow (R)","D. May (R)","T. Gonsolin (R)","B. Casparius (R)","OFF DAY","Y. Yamamoto (R)"
game,"Sat 9:10pm vs PIT","Sun 4:10pm vs PIT","Mon 10:10pm vs MIA","Tue 10:10pm vs MIA","Wed 3:10pm vs MIA",,"Fri 7:15pm @ ATL"
