Game Date,Team,Pitcher Name,Throws,Record,ERA,Opp Batt Avg,Opp Pitcher
2025-05-02,COL,A. Senzatela,R,1-3,4.81,.227 1.0 HR 8.9 K,R. Ray L
2025-04-26,CWS,J. Cannon,R,0-3,4.81,.256 1.4 HR 7.3 K,J. Springs L
2025-04-27,CWS,D. Martin,R,1-3,3.95,.256 1.4 HR 7.3 K,O. Bido R
2025-04-29,CWS,B. Wilson,R,0-0,4.30,.246 0.9 HR 7.9 K,F. Peralta R
2025-04-30,CWS,S. Smith,R,1-1,2.30,.246 0.9 HR 7.9 K,T. Myers R
2025-05-01,CWS,S. Burke,R,1-4,6.00,.246 0.9 HR 7.9 K,C. Patrick R
2025-05-02,CWS,J. Cannon,R,0-3,4.81,.232 0.8 HR 8.2 K,F. Valdez L
2025-04-26,DET,C. Mize,R,3-1,2.22,.223 1.3 HR 8.5 K,B. Young R
2025-04-27,DET,T. Skubal,L,2-2,2.83,.223 1.3 HR 8.5 K,D. Kremer R
2025-04-28,DET,J. Flaherty,R,1-2,2.63,.232 0.8 HR 8.2 K,R. Blanco R
2025-04-29,DET,R. Olson,R,3-1,3.29,.232 0.8 HR 8.2 K,R. Gusto R
2025-04-30,DET,J. Jobe,R,2-0,2.70,.232 0.8 HR 8.2 K,H. Wesneski R
2025-05-01,DET,C. Mize,R,3-1,2.22,.217 1.5 HR 9.5 K,K. Hendricks R
2025-05-02,DET,T. Skubal,L,2-2,2.83,.217 1.5 HR 9.5 K,Y. Kikuchi L
2025-04-26,DET,K. Montero,R,0-1,7.71,.223 1.3 HR 8.5 K,C. Morton R
2025-04-26,HOU,F. Valdez,L,1-2,4.50,.224 0.4 HR 7.4 K,M. Wacha R
2025-04-27,HOU,H. Brown,R,3-1,1.16,.224 0.4 HR 7.4 K,K. Bubic L
2025-04-28,HOU,R. Blanco,R,2-2,5.01,.246 1.0 HR 9.1 K,J. Flaherty R
2025-04-29,HOU,R. Gusto,R,3-1,2.78,.246 1.0 HR 9.1 K,R. Olson R
2025-04-30,HOU,H. Wesneski,R,1-2,3.86,.246 1.0 HR 9.1 K,J. Jobe R
2025-05-02,HOU,F. Valdez,L,1-2,4.50,.205 0.8 HR 8.7 K,J. Cannon R
2025-04-26,KC,M. Wacha,R,0-3,4.15,.232 0.8 HR 8.2 K,F. Valdez L
2025-04-27,KC,K. Bubic,L,2-1,1.45,.232 0.8 HR 8.2 K,H. Brown R
2025-04-29,KC,C. Ragans,L,1-1,4.40,.252 0.9 HR 8.6 K,T. Bradley R
2025-04-30,KC,M. Lorenzen,R,2-3,3.90,.252 0.9 HR 8.6 K,D. Rasmussen R
2025-05-01,KC,S. Lugo,R,2-3,3.08,.252 0.9 HR 8.6 K,S. Baz R
